,Company Name,Governance Score 2020-21,Governance Score 2022-23,Governance Score 2023-24,Classification 2020-21,Classification 2022-23,Classification 2023-24,Change Classification,Stock Performance 2019-20,Stock Performance 2020-21,Stock Performance 2021-22,Stock Performance 2022-23,Stock Performance 2023-24,Stock Performance 2019-2024,Stock Performance 2015-2024,All Time Performance,Comparison 2019-20,Comparison 2020-21,Comparison 2021-22,Comparison 2022-23,Comparison 2023-24,Comparison 2019-2024,Comparison 2015-2024,All Time Comparison,Average Classification,Short Term Performance,Long Term Performance,Company Name Original,Ticker,Macro-Economic Sector,Sector,Industry,Basic Industry
0,360onewamltd,71.0,81.2,31.4,Strong,Adequate,Strong,Constant,-19.61%,67.94%,43.41%,13.35%,73.82%,155.57%,155.57%,155.57%,Better,Worse,Better,Better,Better,Better,Worse,Data Not Available,Strong,Better,Worse,360 one wam limited,360ONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
1,adanienterprisesltd,57.0,75.9,22.3,Weak,Below Average,Adequate,Constant,0.56%,752.89%,103.43%,-2.87%,75.34%,2240.27%,3616.65%,-30587485.71%,Better,Better,Better,Worse,Better,Better,Better,Data Not Available,Below Average,Better,Better,adani enterprises limited,ADANIENT,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
2,amararajaenergyandmobilityltd,65.0,77.6,17.3,Below Average,Below Average,Weak,Constant,Data Not Available,Data Not Available,Data Not Available,Data Not Available,19.52%,19.52%,19.52%,19.52%,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,amara raja energy & mobility limited,,,,,
3,amiorganicsltd,68.0,78.4,18.3,Adequate,Below Average,Weak,Constant,Data Not Available,Data Not Available,7.19%,-0.72%,17.38%,17.59%,17.59%,17.59%,Data Not Available,Data Not Available,Worse,Better,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,ami organics limited,AMIORG,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
4,anandrathiwealthltd,74.0,82.2,35.1,Strong,Strong,Strong,Constant,Data Not Available,Data Not Available,4.75%,42.49%,367.71%,555.91%,555.91%,555.91%,Data Not Available,Data Not Available,Worse,Better,Better,Better,Better,Data Not Available,Strong,Better,Better,anand rathi wealth limited,ANANDRATHI,Financial Services,Financial Services,Capital Markets,Financial Products Distributor
5,apollotricoattubesltd,66.0,,,Adequate,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Adequate,Worse,Worse,apollo tricoat tubes limited,,,,,
6,athaangjammuudhampurhighwayprivateltd,28.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,athaang jammu udhampur highway private limited,,,,,
7,bseltd,81.0,86.2,30.5,Strong,Strong,Strong,Constant,-48.97%,108.42%,406.66%,-53.00%,486.30%,1316.62%,770.28%,770.28%,Worse,Better,Better,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,bse limited,BSE,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
8,bhopaldhuletransmissioncompanyltd,47.0,,,Weak,,,Not Enough Data,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,bhopal dhule transmission company limited,,,,,
9,careratingsltd,74.0,,,Strong,,,Not Enough Data,-65.32%,58.51%,18.74%,30.42%,77.92%,31.62%,-4.03%,74.57%,Worse,Worse,Worse,Better,Better,Worse,Worse,Data Not Available,Strong,Worse,Worse,care ratings limited,CARERATING,Financial Services,Financial Services,Capital Markets,Ratings
10,cartradetechltd,66.0,,,Adequate,,,Not Enough Data,Data Not Available,Data Not Available,-61.39%,-31.99%,63.46%,-57.49%,-57.49%,-57.49%,Data Not Available,Data Not Available,Worse,Worse,Better,Worse,Worse,Data Not Available,Adequate,Worse,Worse,cartrade tech limited,CARTRADE,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
11,centraldepositoryservicesindialtd,79.0,84.2,26.9,Strong,Strong,Adequate,Constant,-3.41%,256.74%,144.54%,-38.41%,79.95%,704.24%,605.73%,605.73%,Better,Better,Better,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,central depository services india limited,CDSL,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries
